title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
Octonauts  -  🐢 The Giant Whirlpool 🌪️ | Season 1 | Full Episode ,616,10:16,,88000,yes,NoriVCavPZA,https://www.youtube.com/watch?v=NoriVCavPZA,
Octonauts -   😱 The Enormous whale Shark 🦈 | Season 1 | Full Episode | SHARK WEEK,616,10:16,,198000,yes,QkYWlrygGBQ,https://www.youtube.com/watch?v=QkYWlrygGBQ,
Octonauts -  ✨ The Remipedes ⛰️ | Season 1 ,616,10:16,,116000,yes,faYE34vDSJY,https://www.youtube.com/watch?v=faYE34vDSJY,
Octonauts -  ⚓ The Slime Eels 🪱 | Season 1 ,616,10:16,,130000,yes,QObWgTngKko,https://www.youtube.com/watch?v=QObWgTngKko,
Octonauts -  The Hermit Crab 🦀🐚 | Season 1 ,616,10:16,,102000,yes,9XQniW1ACDs,https://www.youtube.com/watch?v=9XQniW1ACDs,
Octonauts -  🌪️ The Giant Whirlpool 🐢 | Season 1 ,616,10:16,,160000,yes,#NAME?,https://www.youtube.com/watch?v=-oM-q31t3pw,
Octonauts -  🍥 The Oarfish 🐉 | Season 1 ,616,10:16,,158000,yes,WiT783eelDU,https://www.youtube.com/watch?v=WiT783eelDU,
Octonauts -  🏔️ The Walrus Chief 🦭 | Season 1 ,616,10:16,,142000,yes,YEWl52BPSRg,https://www.youtube.com/watch?v=YEWl52BPSRg,
Octonauts -  🏴‍☠️ The Amber Spyglass 🪙 | Season 1 | Full Episode ,616,10:16,,105000,yes,tA2miLPnorg,https://www.youtube.com/watch?v=tA2miLPnorg,
Octonauts -  🐋 The Beluga Whales 🌊 | Season 1 ,616,10:16,,123000,yes,bV23-4IsMzU,https://www.youtube.com/watch?v=bV23-4IsMzU,
Octonauts -  🐘 The Enormous Elephant Seal 🦭 | Season 1 ,616,10:16,,282000,yes,qC6MR4xDb4I,https://www.youtube.com/watch?v=qC6MR4xDb4I,
Octonauts -  🐟 The Blobfish Brothers 🐟 | Season 1 ,616,10:16,,114000,yes,TvNXo9gMn6Q,https://www.youtube.com/watch?v=TvNXo9gMn6Q,
