title,duration_seconds,duration,upload_date,view_count,maybe_compilation,videoId,url,keep
Portable toilet plumbing emergency with kids ride on septic truck and trailer Educational | Kid Crew,655,10:55,,12000000,yes,8dvzcsqeYr8,https://www.youtube.com/watch?v=8dvzcsqeYr8,y
"Working on NASCAR Race Car, installing engine, and racing remote control cars Educational | Kid Crew",656,10:56,,1700000,yes,cXuGuXq_IQk,https://www.youtube.com/watch?v=cXuGuXq_IQk,y
Rescuing mom from septic plumbing emergency funny story with trucks and toys. Educational | Kid Crew,676,11:16,,37000000,yes,LfYjI6M4sc0,https://www.youtube.com/watch?v=LfYjI6M4sc0,y
Camping in tent treehouse to escape storm after building it. Educational | Kid Crew,689,11:29,,259000,yes,YCk32nnZTd4,https://www.youtube.com/watch?v=YCk32nnZTd4,y
Dumpster delivery with kids roll-off garbage truck and trash cleanup. Educational | Kid Crew,704,11:44,,7200000,yes,dKYe7-IoJvw,https://www.youtube.com/watch?v=dKYe7-IoJvw,y
Remote controlled truck saves dad and plows snow with crawler tracks. Educational | Kid Crew,707,11:47,,18000000,yes,ZIBmtlE54Xo,https://www.youtube.com/watch?v=ZIBmtlE54Xo,y
"Building water wheel to make power with construction snowmobile, trailer. Educational | Kid Crew",730,12:10,,3700000,yes,dZdpKZNMejQ,https://www.youtube.com/watch?v=dZdpKZNMejQ,y
Building kids ride on hovercraft to help a friendly witch on Halloween. Educational | Kid Crew,733,12:13,,5500000,yes,1t8XpxZI3o0,https://www.youtube.com/watch?v=1t8XpxZI3o0,y
Playing soccer with kids ride on cars and funny giant ball. Educational | Kid Crew,736,12:16,,515000,yes,BvajpVKSKqc,https://www.youtube.com/watch?v=BvajpVKSKqc,y
Hauling bike with ride on truck and trailer to rescue dad on wooded trail. Educational | Kid Crew,747,12:27,,5200000,yes,uNhAXs3O8nA,https://www.youtube.com/watch?v=uNhAXs3O8nA,y
Recovering stolen car with kids ride on Police undercover tow truck. Educational | Kid Crew,774,12:54,,20000000,yes,KiaIQ1g9QZE,https://www.youtube.com/watch?v=KiaIQ1g9QZE,y
"Tow truck emergencies with dad’s go kart, mom’s Gator, and engine repair. Educational | Kid Crew",776,12:56,,7900000,yes,1xRKDJntClw,https://www.youtube.com/watch?v=1xRKDJntClw,y
Trash route with kids rear load garbage truck and trash truck toys. Educational | Kid Crew,777,12:57,,34000000,yes,i9JEWJEqeIo,https://www.youtube.com/watch?v=i9JEWJEqeIo,y
Snowmobile Christmas delivery and building winter camping shelter. Educational | Kid Crew,778,12:58,,4800000,yes,YW_mrbd3Uwc,https://www.youtube.com/watch?v=YW_mrbd3Uwc,y
Lifting toilet with kids ride on crane truck at construction site. Educational | Kid Crew,783,13:03,,7400000,yes,P7OiSJyzSmk,https://www.youtube.com/watch?v=P7OiSJyzSmk,y
"Fixing pothole in road with kids steamroller, dump truck, and trailer. Educational | Kid Crew",814,13:34,,27000000,yes,ooIZC4v50jE,https://www.youtube.com/watch?v=ooIZC4v50jE,y
Rescuing dad from fishing emergency with kids ride on boat and raft. Educational | Kid Crew,814,13:34,,11000000,yes,VU-RWdY02oA,https://www.youtube.com/watch?v=VU-RWdY02oA,y
"Back to school on kids school bus. Science, recess, lunch, gym, and reading. Educational | Kid Crew",824,13:44,,34000000,yes,K_n4DRu9fcE,https://www.youtube.com/watch?v=K_n4DRu9fcE,y
Launching kids Space Shuttle to International Space Station to fix computer. Educational | Kid Crew,847,14:07,,6400000,yes,SEI-vBr4nm0,https://www.youtube.com/watch?v=SEI-vBr4nm0,y
"Ocean rescue with lifeguard jet ski, then tractor & garbage truck work beach. Educational | Kid Crew",852,14:12,,10000000,yes,ZXDV3P-LKc4,https://www.youtube.com/watch?v=ZXDV3P-LKc4,y
Building tower crane to move ride on truck and toys with forklift Educational | Kid Crew,883,14:43,,4600000,yes,FG6VwH6nuY0,https://www.youtube.com/watch?v=FG6VwH6nuY0,y
Miniature kids combine harvesting soybeans on farm with semi truck. Educational | Kid Crew,906,15:06,,15000000,yes,f9VryUCXIns,https://www.youtube.com/watch?v=f9VryUCXIns,y
"Planting forest with dirt drilling machine to dig, irrigation, and towing. Educational | Kid Crew",908,15:08,,3300000,yes,k-WhUC8DOtQ,https://www.youtube.com/watch?v=k-WhUC8DOtQ,y
"Installing power lines with kids ride on crane truck, utility truck. Educational | Kid Crew",946,15:46,,1900000,yes,bEd1ri7m0Ww,https://www.youtube.com/watch?v=bEd1ri7m0Ww,y
"Camping in kids school bus, lost in woods, and rescued by kids helicopter. Educational | Kid Crew",951,15:51,,56000000,yes,vnbqNkh9h1U,https://www.youtube.com/watch?v=vnbqNkh9h1U,y
Delivering toy trucks with kids ride on semi truck and trailer. Educational | Kid Crew,986,16:26,,12000000,yes,vQUnOYW5cdI,https://www.youtube.com/watch?v=vQUnOYW5cdI,y
Flying Goodyear Blimp to film a race & fueling via kids airplane tanker truck Educational | Kid Crew,1054,17:34,,20000000,yes,yXSjU-nkCNI,https://www.youtube.com/watch?v=yXSjU-nkCNI,y
Behind the scenes stories of ride on toy trucks and four favorite episodes. Educational | Kid Crew,1227,20:27,,12000000,yes,XL6k1F1X2sQ,https://www.youtube.com/watch?v=XL6k1F1X2sQ,y
"Solving kids police mystery story as spy with ride on command center, drone. Educational | Kid Crew",1242,20:42,,19000000,yes,FHLisMZldh4,https://www.youtube.com/watch?v=FHLisMZldh4,y
Firefighter and police rescue compilation with kids fire truck and police car Educational | Kid Crew,3538,58:58:00,,31000000,yes,tmCi5ONOcq4,https://www.youtube.com/watch?v=tmCi5ONOcq4,
"Winter compilation with rescues & kids truck, tractor, snow plow, Christmas. Educational | Kid Crew",3568,59:28:00,,13000000,yes,ONV6CgAO8cs,https://www.youtube.com/watch?v=ONV6CgAO8cs,
"Police action compilation with spy, detective, helicopter, trucks and toys. Educational | Kid Crew",3611,1:00:11,,847000,yes,Ka5wNAezZBc,https://www.youtube.com/watch?v=Ka5wNAezZBc,
"Toy truck compilation. Construction, emergency, and Farm toys for kids with Bruder & Lego | Kid Crew",3632,1:00:32,,30000000,yes,WmTQ1BfSPdY,https://www.youtube.com/watch?v=WmTQ1BfSPdY,
"Farm compilation with kids ride on tractor, trucks, real tractors, animals. Educational | Kid Crew",3654,1:00:54,,22000000,yes,K3JlqruEIP4,https://www.youtube.com/watch?v=K3JlqruEIP4,
Collecting trash and cleanup compilation with kids garbage trucks and others. Educational | Kid Crew,3682,1:01:22,,7700000,yes,ScJmQaV-2_g,https://www.youtube.com/watch?v=ScJmQaV-2_g,
"Landscaping compilation with kids ride on zero turn mower, tractor, truck and chainsaw | Educational",3700,1:01:40,,20000000,yes,kBGnZoT0SDE,https://www.youtube.com/watch?v=kBGnZoT0SDE,
"Farm work compilation with kids toy truck, tractor, chainsaw, ATV, ride on, tools | Educational",3765,1:02:45,,23000000,yes,NlLcAr8aWnI,https://www.youtube.com/watch?v=NlLcAr8aWnI,
"Construction truck compilation with kids cement mixer, excavator, dump truck. Educational | Kid Crew",3785,1:03:05,,13000000,yes,65CBqihhIGI,https://www.youtube.com/watch?v=65CBqihhIGI,
"Rescuing mom compilation with kids ride on trucks, tractors, mowers and toys. Educational | Kid Crew",3952,1:05:52,,10000000,yes,T4-TuT-ZnKk,https://www.youtube.com/watch?v=T4-TuT-ZnKk,
